Timestep,Road_number,Vehicle_density,Vehicles_Exiting
176,4,9.0,0
176,5,1.2,0
176,6,1.18,0
176,7,1.08,0
177,1,0.78,2
177,2,0.74,1
177,3,0.8,2
177,4,10.0,0
177,5,1.2,0
177,6,1.18,0
177,7,1.08,0
178,1,0.78,1
178,2,0.74,1
178,3,0.8,1
178,4,11.0,1
178,5,1.2,0
178,6,1.18,0
178,7,1.08,0
179,1,0.8,1
179,2,0.74,1
179,3,0.82,0
179,4,11.0,1
179,5,1.2,0
179,6,1.18,0
179,7,1.1,0
180,1,0.8,1
180,2,0.76,3
180,3,0.82,0
180,4,10.6,1
180,5,1.22,0
180,6,1.18,0
180,7,1.1,0
181,1,0.8,1
181,2,0.76,1
181,3,0.82,2
181,4,11.0,1
181,5,1.22,0
181,6,1.2,0
181,7,1.1,0
182,1,0.82,0
182,2,0.76,2
182,3,0.82,0
182,4,10.6,1
182,5,1.22,0
182,6,1.22,0
182,7,1.1,0
183,1,0.82,2
183,2,0.76,0
183,3,0.82,3
183,4,10.0,1
183,5,1.24,0
183,6,1.22,0
183,7,1.1,0
184,1,0.82,3
184,2,0.76,0
184,3,0.82,2
184,4,10.0,1
184,5,1.24,0
184,6,1.22,0
184,7,1.12,0
185,1,0.82,1
185,2,0.76,0
185,3,0.82,2
185,4,10.8,1
185,5,1.24,0
185,6,1.24,0
185,7,1.12,0
186,1,0.82,2
186,2,0.76,2
186,3,0.82,0
186,4,10.8,0
186,5,1.24,0
186,6,1.24,0
186,7,1.14,0
187,1,0.82,0
187,2,0.78,2
187,3,0.82,3
187,4,11.6,1
187,5,1.24,0
187,6,1.24,0
187,7,1.14,0
188,1,0.82,2
188,2,0.78,1
188,3,0.82,1
188,4,11.2,1
188,5,1.24,0
188,6,1.26,0
188,7,1.14,0
189,1,0.82,0
189,2,0.8,1
189,3,0.82,1
189,4,11.2,0
189,5,1.24,0
189,6,1.26,0
189,7,1.16,0
190,1,0.82,1
190,2,0.8,1
190,3,0.82,0
190,4,11.6,2
